PF3D7_0103900.1-p1_176_264	PmUG01_02019700.1-p1	27	89	527	3	29	178	204	55.556	15	9.18e-06	30
PF3D7_0103900.1-p1_268_435	PmUG01_02019700.1-p1	168	168	527	1	168	245	386	32.143	54	1.80e-15	100
PF3D7_0103900.1-p1_268_435	PocGH01_02018000.1-p1	163	168	495	2	158	224	373	31.288	51	4.07e-10	93
PF3D7_0103900.1-p1_268_435	PVP01_0210800.1-p1	183	168	502	1	166	223	395	25.683	47	3.24e-09	99
PF3D7_0103900.1-p1_268_435	PKNH_0209600.1-p1	82	168	496	1	79	223	291	35.366	29	9.51e-08	47
PF3D7_0103900.1-p1:499:525	PocGH01_02018000.1-p1	27	27	495	1	27	419	445	74.074	20	4.69e-07	100
PF3D7_0103900.1-p1:499:525	PKNH_0209600.1-p1	27	27	496	1	27	420	446	66.667	18	9.61e-06	100
PF3D7_0103900.1-p1_513_545	PocGH01_02018000.1-p1	33	33	495	1	33	433	465	69.697	23	6.16e-09	100
PF3D7_0103900.1-p1_513_545	PKNH_0209600.1-p1	33	33	496	1	33	434	466	72.727	24	9.67e-09	100
PF3D7_0103900.1-p1_513_545	PVP01_0210800.1-p1	33	33	502	1	33	440	472	69.697	23	2.92e-08	100
PF3D7_0103900.1-p1_513_545	PmUG01_02019700.1-p1	32	33	527	1	32	464	495	65.625	21	5.40e-06	97
PF3D7_0103900.1-p1_74_174	PmUG01_02019700.1-p1	101	101	527	1	101	90	175	46.535	47	3.93e-23	100
PF3D7_0103900.1-p1_74_174	PVP01_0210800.1-p1	98	101	502	1	98	68	149	41.837	41	1.51e-18	97
PF3D7_0103900.1-p1_74_174	PKNH_0209600.1-p1	95	101	496	1	95	68	146	46.316	44	2.83e-18	94
PF3D7_0103900.1-p1_74_174	PocGH01_02018000.1-p1	100	101	495	1	100	67	150	41.000	41	2.19e-17	99
PF3D7_0104200.1-p1_181_382	PmUG01_02019400.1-p1	200	202	499	3	202	214	413	67.000	134	8.54e-90	99
PF3D7_0104200.1-p1_181_382	PocGH01_02017700.1-p1	200	202	470	3	202	186	385	62.000	124	1.36e-87	99
PF3D7_0104200.1-p1_181_382	PVP01_0210500.1-p1	200	202	502	3	202	220	417	63.000	126	4.56e-83	99
PF3D7_0104200.1-p1_181_382	PKNH_0209300.1-p1	200	202	476	3	202	195	392	61.000	122	4.20e-81	99
PF3D7_0107900.1-p1_64_232	PocGH01_02014200.1-p1	134	169	226	36	169	49	182	65.672	88	1.76e-52	79
PF3D7_0107900.1-p1_64_232	PmUG01_02015900.1-p1	127	169	235	43	169	65	191	66.142	84	4.60e-50	75
PF3D7_0107900.1-p1_64_232	PKNH_0205700.1-p1	127	169	228	43	169	58	184	55.906	71	2.13e-46	75
PF3D7_0107900.1-p1_64_232	PVP01_0207000.1-p1	127	169	226	43	169	56	182	55.906	71	1.58e-45	75
PF3D7_0113000.1-p1:25:669	PKNH_1471500.1-p1	109	645	780	529	636	10	118	36.697	40	8.24e-08	17
PF3D7_0113000.1-p1:25:669	PKNH_1471500.1-p1	102	645	780	534	633	8	109	33.333	34	3.59e-06	17
PF3D7_0113000.1-p1:25:669	PKNH_0916200.1-p1	64	645	553	551	614	474	537	50.000	32	3.05e-07	14
PF3D7_0113000.1-p1:25:669	PKNH_0916200.1-p1	70	645	553	544	613	474	543	47.143	33	4.50e-07	14
PF3D7_0113000.1-p1:25:669	PKNH_0916200.1-p1	69	645	553	559	627	475	543	49.275	34	5.17e-07	14
PF3D7_0113000.1-p1:25:669	PKNH_0916200.1-p1	69	645	553	566	634	475	543	46.377	32	5.14e-06	14
PF3D7_0113000.1-p1:25:669	PVP01_0919100.1-p1	52	645	577	577	628	527	577	59.615	31	9.03e-06	8
PF3D7_0114000.1-p1:52:1183	PocGH01_04027200.1-p1	337	1132	1471	445	781	900	1226	34.718	117	2.05e-11	53
PF3D7_0114000.1-p1:52:1183	PocGH01_04027200.1-p1	377	1132	1471	530	906	905	1236	34.748	131	9.64e-11	53
PF3D7_0114000.1-p1:52:1183	PocGH01_04027200.1-p1	347	1132	1471	325	671	900	1236	34.006	118	2.13e-09	53
PF3D7_0114000.1-p1:52:1183	PocGH01_04027200.1-p1	338	1132	1471	302	609	897	1234	32.840	111	2.15e-09	53
PF3D7_0201700.1-p1:550:574	PmUG01_01025500.1-p1	25	25	758	1	25	309	333	72.000	18	2.79e-06	100
PF3D7_0201700.1-p1:550:574	PKNH_0112400.1-p1	23	25	779	1	23	330	352	73.913	17	5.81e-06	92
PF3D7_0201800.1-p1:37:111	PocGH01_00132800.1-p1	50	75	400	26	75	57	104	56.000	28	1.84e-10	67
PF3D7_0201800.1-p1:37:111	PmUG01_12081300.1-p1	52	75	404	24	75	55	105	51.923	27	3.54e-09	69
PF3D7_0201800.1-p1:37:111	PVP01_1271300.1-p1	47	75	406	29	75	60	105	53.191	25	2.36e-08	63
PF3D7_0201800.1-p1:37:111	PocGH01_04017000.1-p1	24	75	328	52	75	4	27	83.333	20	5.75e-08	32
PF3D7_0201800.1-p1:37:111	PKNH_0407900.1-p1	24	75	329	52	75	4	27	79.167	19	2.02e-07	32
PF3D7_0201800.1-p1:37:111	PVP01_0217000.1-p1	47	75	420	29	75	62	108	46.809	22	5.71e-07	63
PF3D7_0201800.1-p1:37:111	PKNH_0216100.1-p1	38	75	420	43	75	71	108	57.895	22	7.44e-07	44
PF3D7_0201800.1-p1:37:111	PmUG01_02026000.1-p1	30	75	406	46	75	76	105	63.333	19	1.45e-06	40
PF3D7_0202000.1-p1:143:204	PVP01_0423500.1-p1	56	62	363	7	62	86	141	80.357	45	8.44e-25	90
PF3D7_0202000.1-p1:143:204	PKNH_1325700.1-p1	56	62	441	7	62	86	141	71.429	40	1.42e-21	90
PF3D7_0202000.1-p1:143:204	PocGH01_02024000.1-p1	56	62	365	7	62	76	131	73.214	41	2.07e-21	90
PF3D7_0202000.1-p1:143:204	PmUG01_02025800.1-p1	56	62	270	7	62	73	128	73.214	41	2.98e-21	90
PF3D7_0202000.1-p1:143:204	PVP01_0216900.1-p1	56	62	696	7	62	86	141	67.857	38	5.23e-21	90
PF3D7_0202000.1-p1:143:204	PocGH01_00159000.1-p1	57	62	2104	6	62	54	110	66.667	38	2.43e-18	92
PF3D7_0202000.1-p1:143:204	PmUG01_04030800.1-p1	55	62	260	8	62	87	141	65.455	36	8.38e-18	89
PF3D7_0202000.1-p1:143:204	PmUG01_04030700.1-p1	48	62	1910	7	54	85	132	66.667	32	1.32e-15	77
PF3D7_0202000.1-p1:250:651	PocGH01_14059800.1-p1	84	402	1906	267	350	1022	1104	44.048	37	1.22e-06	21
PF3D7_0202000.1-p1:250:651	PocGH01_14059800.1-p1	79	402	1906	272	350	1016	1094	43.038	34	2.69e-06	21
PF3D7_0202000.1-p1:250:651	PocGH01_14059800.1-p1	77	402	1906	274	350	1068	1144	42.857	33	8.59e-06	21
PF3D7_0202000.1-p1:250:651	PocGH01_14059800.1-p1	77	402	1906	274	350	1098	1174	42.857	33	8.59e-06	21
PF3D7_0204100.1-p1_1137_1162	PmUG01_04028300.1-p1	26	26	2296	1	26	1290	1315	73.077	19	1.11e-07	100
PF3D7_0204100.1-p1_1137_1162	PVP01_0421000.1-p1	26	26	2502	1	26	1572	1597	69.231	18	8.50e-07	100
PF3D7_0204100.1-p1_1137_1162	PKNH_0417000.1-p1	26	26	2369	1	26	1456	1481	65.385	17	1.83e-06	100
PF3D7_0204100.1-p1_1187_1297	PocGH01_08024700.1-p1	42	111	987	70	111	403	444	69.048	29	2.07e-11	41
PF3D7_0204100.1-p1_1187_1297	PocGH01_08024700.1-p1	40	111	987	67	106	406	445	62.500	25	1.01e-08	41
